Instancia,Tempo(s),Utilizacao,Recipientes,numeroDoTeste
base\CLASS01_060_01.json,0.994285,0.933862,21,17
base\CLASS01_060_01.json,0.993348,0.919948,21,18
base\CLASS01_060_01.json,0.960249,0.921814,21,19
base\CLASS01_060_01.json,0.935775,0.920157,21,20
base\CLASS01_060_01.json,1.0128,0.923919,21,21
base\CLASS01_060_01.json,1.01177,0.922652,21,22
base\CLASS01_060_01.json,0.970749,0.934062,21,23
base\CLASS01_060_01.json,1.08155,0.922252,21,24
base\CLASS01_060_01.json,0.924893,0.92151,21,25
base\CLASS01_060_01.json,1.02229,0.926005,21,26
base\CLASS01_060_01.json,0.984229,0.921386,21,27
base\CLASS01_060_01.json,0.965748,0.921995,21,28
base\CLASS01_060_01.json,1.04412,0.920995,21,29
base\CLASS01_060_03.json,0.947831,0.928226,19,0
base\CLASS01_060_03.json,0.880964,0.924689,19,1
base\CLASS01_060_03.json,0.928626,0.925405,19,2
base\CLASS01_060_03.json,0.89286,0.921511,19,3
base\CLASS01_060_03.json,0.966684,0.927605,19,4
base\CLASS01_060_03.json,0.901848,0.921837,19,5
base\CLASS01_060_03.json,0.970341,0.924026,19,6
base\CLASS01_060_03.json,0.957859,0.926626,19,7
base\CLASS01_060_03.json,1.0069,0.931889,19,8
base\CLASS01_060_03.json,0.880797,0.923858,19,9
base\CLASS01_060_03.json,0.905719,0.924416,19,10
base\CLASS01_060_03.json,0.90704,0.929079,19,11
base\CLASS01_060_03.json,0.900081,0.926637,19,12
base\CLASS01_060_03.json,0.92001,0.927574,19,13
base\CLASS01_060_03.json,0.953471,0.923742,19,14
base\CLASS01_060_03.json,0.866135,0.926384,19,15
base\CLASS01_060_03.json,0.945038,0.927353,19,16
base\CLASS01_060_03.json,0.981701,0.925584,19,17
base\CLASS01_060_03.json,0.942764,0.924332,19,18
base\CLASS01_060_03.json,0.957544,0.922784,19,19
base\CLASS01_060_03.json,0.93506,0.921195,19,20
base\CLASS01_060_03.json,0.969386,0.924658,19,21
base\CLASS01_060_03.json,0.8861,0.924532,19,22
base\CLASS01_060_03.json,0.89718,0.926732,19,23
base\CLASS01_060_03.json,0.890366,0.925237,19,24
base\CLASS01_060_03.json,0.874951,0.924753,19,25
base\CLASS01_060_03.json,0.886343,0.928974,19,26
base\CLASS01_060_03.json,0.926643,0.929311,19,27
base\CLASS01_060_03.json,0.953266,0.9217,19,28
base\CLASS01_060_03.json,0.930483,0.922511,19,29
base\CLASS01_060_05.json,0.84817,0.945676,17,0
base\CLASS01_060_05.json,0.84531,0.945371,17,1
base\CLASS01_060_05.json,0.867204,0.945676,17,2
base\CLASS01_060_05.json,0.829779,0.945018,17,3
base\CLASS01_060_05.json,0.77105,0.9463,17,4
base\CLASS01_060_05.json,0.794294,0.944171,17,5
base\CLASS01_060_05.json,0.850354,0.947006,17,6
base\CLASS01_060_05.json,0.787582,0.944771,17,7
base\CLASS01_060_05.json,0.863705,0.944406,17,8
base\CLASS01_060_05.json,0.807398,0.9455,17,9
base\CLASS01_060_05.json,0.826465,0.9467,17,10
base\CLASS01_060_05.json,0.716582,0.945618,17,11
base\CLASS01_060_05.json,0.851494,0.948006,17,12
base\CLASS01_060_05.json,0.83611,0.945206,17,13
base\CLASS01_060_05.json,0.843101,0.945606,17,14
base\CLASS01_060_05.json,0.827389,0.943829,17,15
base\CLASS01_060_05.json,0.853924,0.949571,17,16
base\CLASS01_060_05.json,0.81596,0.945712,17,17
base\CLASS01_060_05.json,0.883137,0.944524,17,18
base\CLASS01_060_05.json,0.783285,0.947829,17,19
base\CLASS01_060_05.json,0.860613,0.946688,17,20
base\CLASS01_060_05.json,0.819903,0.943406,17,21
base\CLASS01_060_05.json,0.810109,0.945288,17,22
base\CLASS01_060_05.json,0.770836,0.947829,17,23
base\CLASS01_060_05.json,0.828741,0.947806,17,24
base\CLASS01_060_05.json,0.800187,0.945982,17,25
base\CLASS01_060_05.json,0.857414,0.946335,17,26
base\CLASS01_060_05.json,0.785438,0.944971,17,27
base\CLASS01_060_05.json,0.861296,0.944818,17,28
base\CLASS01_060_05.json,0.840865,0.945594,17,29
base\CLASS01_060_07.json,0.707386,0.97416,15,0
base\CLASS01_060_07.json,0.767986,0.97416,15,1
base\CLASS01_060_07.json,0.719263,0.9744,15,2
base\CLASS01_060_07.json,0.799988,0.974707,15,3
base\CLASS01_060_07.json,0.753721,0.974,15,4
base\CLASS01_060_07.json,0.773042,0.973933,15,5
base\CLASS01_060_07.json,0.719612,0.97412,15,6
base\CLASS01_060_07.json,0.791799,0.974013,15,7
base\CLASS01_060_07.json,0.73546,0.974133,15,8
base\CLASS01_060_07.json,0.684697,0.974053,15,9
base\CLASS01_060_07.json,0.717137,0.974693,15,10
base\CLASS01_060_07.json,0.781717,0.97428,15,11
base\CLASS01_060_07.json,0.74126,0.974693,15,12
base\CLASS01_060_07.json,0.732814,0.9742,15,13
base\CLASS01_060_07.json,0.77168,0.973867,15,14
base\CLASS01_060_07.json,0.727333,0.974,15,15
base\CLASS01_060_07.json,0.755585,0.97452,15,16
base\CLASS01_060_07.json,0.720199,0.97472,15,17
base\CLASS01_060_07.json,0.713972,0.97436,15,18
base\CLASS01_060_07.json,0.762876,0.97412,15,19
base\CLASS01_060_07.json,0.711619,0.974213,15,20
base\CLASS01_060_07.json,0.746078,0.974347,15,21
base\CLASS01_060_07.json,0.760883,0.974147,15,22
base\CLASS01_060_07.json,0.729045,0.9742,15,23
base\CLASS01_060_07.json,0.746869,0.974173,15,24
base\CLASS01_060_07.json,0.723443,0.974147,15,25
base\CLASS01_060_07.json,0.709895,0.974,15,26
base\CLASS01_060_07.json,0.681207,0.973933,15,27
base\CLASS01_060_07.json,0.731959,0.974867,15,28
base\CLASS01_060_07.json,0.766949,0.97412,15,29
base\CLASS01_060_09.json,0.818388,0.940972,18,0
base\CLASS01_060_09.json,0.884034,0.938694,18,1
base\CLASS01_060_09.json,0.905386,0.94015,18,2
base\CLASS01_060_09.json,0.901144,0.942561,18,3
base\CLASS01_060_09.json,0.897139,0.938361,18,4
base\CLASS01_060_09.json,0.90498,0.944794,18,5
base\CLASS01_060_09.json,0.850411,0.937472,18,6
base\CLASS01_060_09.json,0.867484,0.939983,18,7
base\CLASS01_060_09.json,0.822567,0.938283,18,8
base\CLASS01_060_09.json,0.913187,0.941117,18,9
base\CLASS01_060_09.json,0.889917,0.943661,18,10
base\CLASS01_060_09.json,0.906408,0.938061,18,11
base\CLASS01_060_09.json,0.89949,0.941217,18,12
base\CLASS01_060_09.json,0.873858,0.944583,18,13
base\CLASS01_060_09.json,0.843642,0.938594,18,14
base\CLASS01_060_09.json,0.838421,0.941017,18,15
base\CLASS01_060_09.json,0.854386,0.938239,18,16
base\CLASS01_060_09.json,0.833389,0.938739,18,17
base\CLASS01_060_09.json,0.905344,0.938872,18,18
base\CLASS01_060_09.json,0.794021,0.93975,18,19
base\CLASS01_060_09.json,0.868012,0.938539,18,20
base\CLASS01_060_09.json,0.821506,0.940217,18,21
base\CLASS01_060_09.json,0.894678,0.942006,18,22
base\CLASS01_060_09.json,0.900239,0.938694,18,23
base\CLASS01_060_09.json,0.868465,0.941639,18,24
base\CLASS01_060_09.json,0.905798,0.940939,18,25
base\CLASS01_060_09.json,0.860699,0.941206,18,26
base\CLASS01_060_09.json,0.918048,0.937172,18,27
base\CLASS01_060_09.json,0.905085,0.942283,18,28
base\CLASS01_060_09.json,0.87146,0.941494,18,29
base\CLASS01_100_01.json,3.44802,0.957382,28,0
base\CLASS01_100_01.json,3.26734,0.957604,28,1
base\CLASS01_100_01.json,3.37271,0.957261,28,2
base\CLASS01_100_01.json,3.27026,0.956439,28,3
base\CLASS01_100_01.json,3.17157,0.958411,28,4
base\CLASS01_100_01.json,3.25908,0.958111,28,5
base\CLASS01_100_01.json,3.13121,0.955811,28,6
base\CLASS01_100_01.json,3.38347,0.957839,28,7
base\CLASS01_100_01.json,3.34753,0.958382,28,8
base\CLASS01_100_01.json,3.17423,0.955839,28,9
base\CLASS01_100_01.json,3.45267,0.957125,28,10
base\CLASS01_100_01.json,3.2372,0.956896,28,11
base\CLASS01_100_01.json,3.23565,0.959911,28,12
base\CLASS01_100_01.json,3.597,0.958646,28,13
base\CLASS01_100_01.json,3.53896,0.956089,28,14
base\CLASS01_100_01.json,3.37484,0.957511,28,15
base\CLASS01_100_01.json,3.35363,0.958168,28,16
base\CLASS01_100_01.json,3.38159,0.958082,28,17
base\CLASS01_100_01.json,3.45649,0.957354,28,18
base\CLASS01_100_01.json,3.51588,0.957661,28,19
base\CLASS01_100_01.json,3.73113,0.957582,28,20
base\CLASS01_100_01.json,3.37313,0.956482,28,21
base\CLASS01_100_01.json,3.49278,0.956682,28,22
base\CLASS01_100_01.json,3.66022,0.957789,28,23
base\CLASS01_100_01.json,3.45666,0.955118,28,24
base\CLASS01_100_01.json,3.50077,0.959239,28,25
base\CLASS01_100_01.json,3.6422,0.958089,28,26
base\CLASS01_100_01.json,3.57314,0.957811,28,27
base\CLASS01_100_01.json,3.41796,0.956204,28,28
base\CLASS01_100_01.json,3.61474,0.957375,28,29
base\CLASS01_100_03.json,3.26231,0.97683,27,0
base\CLASS01_100_03.json,3.41085,0.977193,27,1
base\CLASS01_100_03.json,3.5599,0.97677,27,2
base\CLASS01_100_03.json,3.35881,0.976941,27,3
base\CLASS01_100_03.json,3.51437,0.976741,27,4
base\CLASS01_100_03.json,3.35651,0.977378,27,5
base\CLASS01_100_03.json,3.69304,0.977585,27,6
base\CLASS01_100_03.json,3.33956,0.976822,27,7
base\CLASS01_100_03.json,3.5976,0.976667,27,8
base\CLASS01_100_03.json,3.5057,0.97697,27,9
base\CLASS01_100_03.json,3.40718,0.976881,27,10
base\CLASS01_100_03.json,3.45538,0.976763,27,11
