Instancia,Tempo(ms),UtilizacaoReal,UtilizacaoGardeynWauters,Recipientes,TamanhoDoBando,TamanhoDoVoo,IteracoesMaximas
MB_C6_07,253,0.7263022401719393,0.852233676975945,1,35,5,80
MB_C6_06,260,0.6006521259390222,0.7244824265767934,1,35,5,80
MB_C6_05,309,0.7495922875364266,0.8544417884713351,1,35,5,80
MB_C6_04,25,0.6060078328934266,0.7784650492433342,1,35,5,80
MB_C6_03,841,0.7765708248474219,0.8721264367816093,1,35,5,80
MB_C6_02,304,0.6119978203675468,0.7823028955382607,1,35,5,80
MB_C5_47,6863,0.9770720484348836,0.9883670257807036,27,35,5,80
MB_C9_42,3334,0.8916389795135925,0.94212019254868,54,35,5,80
MB_C9_41,7718,0.8449349078502258,0.9135915924444644,53,35,5,80
MB_C9_40,19529,0.8542628498172238,0.9214084688711954,55,35,5,80
MB_C9_39,26455,0.9130390921797717,0.9518174955296473,44,35,5,80
MB_C7_36,21004,0.9621490322434567,0.980738581693221,24,35,5,80
MB_C7_35,14011,0.9613713139149405,0.9802926758526012,26,35,5,80
MB_C7_29,11614,0.9768242342234135,0.9882492635110636,15,35,5,80
MB_C10_32,9464,0.9940406384104462,0.9970140184354257,12,35,5,80
MB_C10_31,6136,0.9907422964281312,0.9953477771929284,15,35,5,80
MB_C10_30,10227,0.9886563153608205,0.994305627240409,10,35,5,80
MB_C10_29,9340,0.9904499294876312,0.9952054045761197,14,35,5,80
MB_C10_28,5798,0.9907828108287507,0.9953613572715857,11,35,5,80
MB_C10_27,6441,0.990854611257704,0.9954059919731593,10,35,5,80
MB_C10_26,7334,0.992501032210329,0.9962410619761582,13,35,5,80
MB_C10_25,7427,0.9920138458986892,0.9959953619440013,9,35,5,80
MB_C10_15,3559,0.9937581114456132,0.9968695201545531,8,35,5,80
MB_C10_14,4138,0.9850143589815962,0.9924691889439312,9,35,5,80
MB_C10_13,3085,0.9805143594764341,0.9901513383807874,9,35,5,80
MB_C10_12,2887,0.9858112742857142,0.9928285714285715,7,35,5,80
MB_C10_11,2079,0.9820002425208038,0.9909302957499715,9,35,5,80
MB_C10_10,1325,0.9732173116835758,0.9863411161792057,3,35,5,80
