Instancia,Tempo(ms),Utilizacao,Recipientes,TamanhoDoBando,TamanhoDoVoo,IteracoesMaximas
CLASS04_040_02,465,0.5098,2,35,5,80
CLASS04_040_01,400,0.8042502400000001,1,35,5,80
CLASS04_020_10,36,0.54730404,1,35,5,80
CLASS04_020_09,66,0.4529290000000001,1,35,5,80
CLASS02_100_09,24869,0.7752456790123456,4,35,5,80
CLASS04_080_08,6752,0.92850923,3,35,5,80
CLASS04_080_07,13119,0.93889123,3,35,5,80
CLASS04_080_06,11180,0.8523709866666667,3,35,5,80
CLASS04_080_05,9248,0.74860588,3,35,5,80
CLASS04_060_03,3295,0.96696448,2,35,5,80
CLASS04_060_02,9476,0.837842,2,35,5,80
CLASS04_040_06,2663,0.50668168,2,35,5,80
CLASS08_040_05,2840,0.878640575,8,35,5,80
CLASS08_040_04,3986,0.8890043227272728,11,35,5,80
CLASS08_040_03,5627,0.9833651611111112,10,35,5,80
CLASS08_040_02,5204,0.9423478318181818,12,35,5,80
CLASS08_040_01,14372,0.922445403,11,35,5,80
CLASS08_020_10,327,0.750949175,4,35,5,80
CLASS08_020_09,2457,0.9729774460000001,6,35,5,80
CLASS08_020_08,818,0.802565754,6,35,5,80
CLASS02_040_10,1992,0.5098,2,35,5,80
CLASS02_040_09,1268,0.5072,2,35,5,80
CLASS02_040_08,7757,0.6894543209876542,2,35,5,80
CLASS02_040_07,761,0.5186888888888889,2,35,5,80
CLASS02_020_01,35,0.5184,1,35,5,80
CLASS01_100_10,13986,0.96146,38,35,5,80
CLASS01_100_03,9471,0.9781333333333334,28,35,5,80
CLASS07_080_07,21307,0.9660943785714287,22,35,5,80
CLASS07_080_06,11100,0.9407164155000002,20,35,5,80
CLASS07_080_01,11169,0.927695565263158,19,35,5,80
CLASS03_020_02,654,0.7889272135416666,3,35,5,80
CLASS03_020_01,5894,0.8121527343749999,5,35,5,80
CLASS02_100_10,12446,0.9086694444444444,4,35,5,80
CLASS02_100_09,26106,0.7752456790123456,4,35,5,80
CLASS02_080_10,2737,0.8279325102880658,3,35,5,80
CLASS02_080_09,17853,0.7523361111111111,4,35,5,80
CLASS02_080_05,5985,0.7920592592592591,3,35,5,80
CLASS05_100_05,1142,0.9593087219230767,27,35,5,80
CLASS05_100_04,1313,0.9434652900000002,25,35,5,80
CLASS05_100_03,2618,0.9503625134782606,23,35,5,80
CLASS05_100_02,5946,0.9492337533333334,28,35,5,80
CLASS05_100_01,5823,0.9652815439130434,23,35,5,80
CLASS05_080_10,11552,0.9503852623809527,23,35,5,80
CLASS05_080_09,8335,0.9568905329166667,26,35,5,80
CLASS05_080_08,17989,0.92795137,24,35,5,80
CLASS04_020_09,45,0.4529290000000001,1,35,5,80
CLASS04_020_08,749,0.26615281,1,35,5,80
