Instancia,Tempo(s),Utilizacao,Recipientes,numeroDoTeste
base\CLASS01_020_09.json,0.247093,0.630588,8,24
base\CLASS01_020_09.json,0.0941177,0.622588,8,25
base\CLASS01_020_09.json,0.123831,0.622638,8,26
base\CLASS01_020_09.json,0.132017,0.634738,8,27
base\CLASS01_020_09.json,0.121082,0.630038,8,28
base\CLASS01_020_09.json,0.118388,0.631238,8,29
base\CLASS01_060_01.json,0.998,0.781283,23,0
base\CLASS01_060_01.json,0.903155,0.775874,23,1
base\CLASS01_060_01.json,0.469561,0.778552,23,2
base\CLASS01_060_01.json,0.79834,0.781874,23,3
base\CLASS01_060_01.json,0.970193,0.781735,23,4
base\CLASS01_060_01.json,0.483898,0.785326,23,5
base\CLASS01_060_01.json,0.854999,0.737888,24,6
base\CLASS01_060_01.json,0.471628,0.775657,23,7
base\CLASS01_060_01.json,0.889949,0.77543,23,8
base\CLASS01_060_01.json,0.721654,0.779109,23,9
base\CLASS01_060_01.json,0.806983,0.777683,23,10
base\CLASS01_060_01.json,0.689469,0.778378,23,11
base\CLASS01_060_01.json,0.421952,0.775491,23,12
base\CLASS01_060_01.json,0.376657,0.7773,23,13
base\CLASS01_060_01.json,0.427934,0.773717,23,14
base\CLASS01_060_01.json,0.946037,0.778239,23,15
base\CLASS01_060_01.json,0.459601,0.742696,24,16
base\CLASS01_060_01.json,0.54808,0.77963,23,17
base\CLASS01_060_01.json,0.681927,0.777022,23,18
base\CLASS01_060_01.json,0.586908,0.779613,23,19
base\CLASS01_060_01.json,0.336121,0.729204,24,20
base\CLASS01_060_01.json,0.586078,0.777926,23,21
base\CLASS01_060_01.json,0.757999,0.778352,23,22
base\CLASS01_060_01.json,0.534373,0.777622,23,23
base\CLASS01_060_01.json,0.48575,0.739488,24,24
base\CLASS01_060_01.json,0.684636,0.779709,23,25
base\CLASS01_060_01.json,0.277947,0.779709,23,26
base\CLASS01_060_01.json,0.844459,0.782135,23,27
base\CLASS01_060_01.json,0.629995,0.777004,23,28
base\CLASS01_060_01.json,0.723091,0.782048,23,29
base\CLASS01_060_03.json,0.527445,0.67343,23,0
base\CLASS01_060_03.json,0.506152,0.656674,23,1
base\CLASS01_060_03.json,0.576125,0.711768,22,2
base\CLASS01_060_03.json,0.572191,0.717895,22,3
base\CLASS01_060_03.json,0.40111,0.714468,22,4
base\CLASS01_060_03.json,0.528522,0.724241,22,5
base\CLASS01_060_03.json,0.406317,0.727505,22,6
base\CLASS01_060_03.json,0.350855,0.71445,22,7
base\CLASS01_060_03.json,0.38057,0.675778,23,8
base\CLASS01_060_03.json,0.499819,0.715832,22,9
base\CLASS01_060_03.json,0.713356,0.708677,22,10
base\CLASS01_060_03.json,0.468858,0.716432,22,11
base\CLASS01_060_03.json,0.461833,0.713541,22,12
base\CLASS01_060_03.json,0.737834,0.726586,22,13
base\CLASS01_060_03.json,0.704743,0.732223,22,14
base\CLASS01_060_03.json,1.11092,0.71435,22,15
base\CLASS01_060_03.json,0.562933,0.775481,21,16
base\CLASS01_060_03.json,0.386095,0.718386,22,17
base\CLASS01_060_03.json,0.515554,0.719314,22,18
base\CLASS01_060_03.json,0.379839,0.714614,22,19
base\CLASS01_060_03.json,0.668938,0.712477,22,20
base\CLASS01_060_03.json,0.793478,0.724332,22,21
base\CLASS01_060_03.json,0.54545,0.717377,22,22
base\CLASS01_060_03.json,1.08475,0.71955,22,23
base\CLASS01_060_03.json,0.601873,0.708968,22,24
base\CLASS01_060_03.json,0.467399,0.715568,22,25
base\CLASS01_060_03.json,0.775953,0.775738,21,26
base\CLASS01_060_03.json,1.00025,0.772986,21,27
base\CLASS01_060_03.json,0.590279,0.717368,22,28
base\CLASS01_060_03.json,0.211197,0.668787,23,29
base\CLASS01_060_05.json,0.402462,0.788995,19,0
base\CLASS01_060_05.json,0.485548,0.783047,19,1
base\CLASS01_060_05.json,0.287775,0.775153,19,2
base\CLASS01_060_05.json,0.33159,0.787932,19,3
base\CLASS01_060_05.json,0.52926,0.773174,19,4
base\CLASS01_060_05.json,0.39572,0.783037,19,5
base\CLASS01_060_05.json,0.674371,0.716165,20,6
base\CLASS01_060_05.json,0.712925,0.784963,19,7
base\CLASS01_060_05.json,0.582887,0.793247,19,8
base\CLASS01_060_05.json,0.400483,0.773332,19,9
base\CLASS01_060_05.json,0.321163,0.773395,19,10
base\CLASS01_060_05.json,0.510241,0.784689,19,11
base\CLASS01_060_05.json,0.399974,0.789984,19,12
base\CLASS01_060_05.json,0.441711,0.782405,19,13
base\CLASS01_060_05.json,0.603758,0.779732,19,14
base\CLASS01_060_05.json,0.488339,0.778942,19,15
base\CLASS01_060_05.json,0.445594,0.771511,19,16
base\CLASS01_060_05.json,0.579225,0.792732,19,17
base\CLASS01_060_05.json,1.01845,0.798047,19,18
base\CLASS01_060_05.json,0.936244,0.800689,19,19
base\CLASS01_060_05.json,0.368278,0.789395,19,20
base\CLASS01_060_05.json,0.586367,0.787247,19,21
base\CLASS01_060_05.json,1.05969,0.802584,19,22
base\CLASS01_060_05.json,0.71346,0.778142,19,23
base\CLASS01_060_05.json,0.427074,0.779668,19,24
base\CLASS01_060_05.json,0.351756,0.778837,19,25
base\CLASS01_060_05.json,0.31696,0.774458,19,26
base\CLASS01_060_05.json,0.811215,0.784616,19,27
base\CLASS01_060_05.json,0.441729,0.792184,19,28
base\CLASS01_060_05.json,0.296973,0.788542,19,29
base\CLASS01_060_07.json,0.50632,0.8646,16,0
base\CLASS01_060_07.json,0.173999,0.730689,18,1
base\CLASS01_060_07.json,0.37098,0.778929,17,2
base\CLASS01_060_07.json,0.317575,0.786788,17,3
base\CLASS01_060_07.json,0.66821,0.864688,16,4
base\CLASS01_060_07.json,0.472871,0.873538,16,5
