Instancia,Tempo(s),Utilizacao,Recipientes,numeroDoTeste
base\CLASS05_060_01.json,1.89581,0.671739,21,19
base\CLASS05_060_01.json,0.419091,0.626845,22,20
base\CLASS05_060_01.json,0.793951,0.673802,21,21
base\CLASS05_060_01.json,1.19692,0.674659,21,22
base\CLASS05_060_01.json,0.775056,0.671329,21,23
base\CLASS05_060_01.json,0.546291,0.629033,22,24
base\CLASS05_060_01.json,0.776452,0.67077,21,25
base\CLASS05_060_01.json,1.32887,0.679628,21,26
base\CLASS05_060_01.json,1.09742,0.683861,21,27
base\CLASS05_060_01.json,0.994612,0.67609,21,28
base\CLASS05_060_01.json,1.25823,0.676044,21,29
base\CLASS05_060_03.json,1.4401,0.679644,19,0
base\CLASS05_060_03.json,1.42819,0.63107,20,1
base\CLASS05_060_03.json,2.7602,0.683537,19,2
base\CLASS05_060_03.json,1.5581,0.628522,20,3
base\CLASS05_060_03.json,0.942714,0.587542,21,4
base\CLASS05_060_03.json,1.7784,0.686195,19,5
base\CLASS05_060_03.json,1.28552,0.629127,20,6
base\CLASS05_060_03.json,1.371,0.636672,20,7
base\CLASS05_060_03.json,0.729243,0.625338,20,8
base\CLASS05_060_03.json,1.52804,0.679285,19,9
base\CLASS05_060_03.json,1.20471,0.620195,20,10
base\CLASS05_060_03.json,1.21281,0.683621,19,11
base\CLASS05_060_03.json,1.80635,0.625713,20,12
base\CLASS05_060_03.json,0.871559,0.675194,19,13
base\CLASS05_060_03.json,1.69748,0.629906,20,14
base\CLASS05_060_03.json,0.92819,0.633508,20,15
base\CLASS05_060_03.json,1.80445,0.627117,20,16
base\CLASS05_060_03.json,1.38543,0.585047,21,17
base\CLASS05_060_03.json,0.527135,0.681003,19,18
base\CLASS05_060_03.json,0.7094,0.625136,20,19
base\CLASS05_060_03.json,1.22435,0.681532,19,20
base\CLASS05_060_03.json,1.44527,0.683526,19,21
base\CLASS05_060_03.json,1.91859,0.633597,20,22
base\CLASS05_060_03.json,1.09232,0.678279,19,23
base\CLASS05_060_03.json,1.15711,0.684884,19,24
base\CLASS05_060_03.json,0.832593,0.634188,20,25
base\CLASS05_060_03.json,2.77152,0.636637,20,26
base\CLASS05_060_03.json,1.72103,0.677453,19,27
base\CLASS05_060_03.json,1.52552,0.624574,20,28
base\CLASS05_060_03.json,0.868031,0.681798,19,29
base\CLASS05_060_05.json,1.41108,0.664723,17,0
base\CLASS05_060_05.json,1.31627,0.663979,17,1
base\CLASS05_060_05.json,0.606686,0.6604,17,2
base\CLASS05_060_05.json,1.13798,0.673137,17,3
base\CLASS05_060_05.json,1.62231,0.735327,16,4
base\CLASS05_060_05.json,1.90435,0.663865,17,5
base\CLASS05_060_05.json,1.37244,0.668042,17,6
base\CLASS05_060_05.json,1.06632,0.665094,17,7
base\CLASS05_060_05.json,0.481924,0.664429,17,8
base\CLASS05_060_05.json,0.81851,0.670492,17,9
base\CLASS05_060_05.json,0.823516,0.680531,17,10
base\CLASS05_060_05.json,1.06477,0.73723,16,11
base\CLASS05_060_05.json,0.808326,0.734714,16,12
base\CLASS05_060_05.json,0.805567,0.6705,17,13
base\CLASS05_060_05.json,1.07526,0.66158,17,14
base\CLASS05_060_05.json,1.79966,0.682849,17,15
base\CLASS05_060_05.json,0.608201,0.670513,17,16
base\CLASS05_060_05.json,0.885076,0.662577,17,17
base\CLASS05_060_05.json,1.10019,0.660311,17,18
base\CLASS05_060_05.json,0.619302,0.634687,18,19
base\CLASS05_060_05.json,0.710693,0.73765,16,20
base\CLASS05_060_05.json,0.564772,0.678678,17,21
base\CLASS05_060_05.json,1.43911,0.703548,16,22
base\CLASS05_060_05.json,0.84419,0.676996,17,23
base\CLASS05_060_05.json,1.32428,0.734943,16,24
base\CLASS05_060_05.json,1.03763,0.642364,17,25
base\CLASS05_060_05.json,1.64299,0.678406,17,26
base\CLASS05_060_05.json,0.916435,0.69257,16,27
base\CLASS05_060_05.json,0.623656,0.663906,17,28
base\CLASS05_060_05.json,0.527979,0.677499,17,29
base\CLASS05_060_07.json,0.93066,0.699279,15,0
base\CLASS05_060_07.json,1.06706,0.701605,15,1
base\CLASS05_060_07.json,0.771918,0.726168,15,2
base\CLASS05_060_07.json,1.60795,0.79551,14,3
base\CLASS05_060_07.json,1.16107,0.717677,15,4
base\CLASS05_060_07.json,2.05688,0.650291,16,5
base\CLASS05_060_07.json,0.459872,0.700997,15,6
base\CLASS05_060_07.json,2.33943,0.725693,15,7
base\CLASS05_060_07.json,2.97645,0.794446,14,8
base\CLASS05_060_07.json,1.3561,0.703272,15,9
base\CLASS05_060_07.json,1.0401,0.704894,15,10
base\CLASS05_060_07.json,0.54305,0.711544,15,11
base\CLASS05_060_07.json,1.10678,0.710143,15,12
base\CLASS05_060_07.json,1.02016,0.709583,15,13
base\CLASS05_060_07.json,3.07546,0.732893,15,14
base\CLASS05_060_07.json,0.559883,0.717628,15,15
base\CLASS05_060_07.json,0.601833,0.70515,15,16
base\CLASS05_060_07.json,1.03485,0.72706,15,17
base\CLASS05_060_07.json,0.967397,0.701122,15,18
