Busca do Corvo,
Arquivo,base\CLASS01_020_02.json
Execucao,2
MaxIteration,0
Tempo Decorrido (segundos),1.86E-05
Porcentagem De Utilizacao,0.80242
Quantidade de Recipientes,5
Busca do Corvo,
Arquivo,base\CLASS01_020_02.json
Execucao,2
MaxIteration,1
Tempo Decorrido (segundos),0.0570452
Porcentagem De Utilizacao,0.81158
Quantidade de Recipientes,5
Busca do Corvo,
Arquivo,base\CLASS01_020_02.json
Execucao,2
MaxIteration,2
Tempo Decorrido (segundos),0.105842
Porcentagem De Utilizacao,0.81402
Quantidade de Recipientes,5
Busca do Corvo,
Arquivo,base\CLASS01_020_02.json
Execucao,2
MaxIteration,3
Tempo Decorrido (segundos),0.16085
Porcentagem De Utilizacao,0.8141
Quantidade de Recipientes,5
Busca do Corvo,
Arquivo,base\CLASS01_020_02.json
Execucao,2
MaxIteration,4
Tempo Decorrido (segundos),0.219184
Porcentagem De Utilizacao,0.8115
Quantidade de Recipientes,5
Busca do Corvo,
Arquivo,base\CLASS01_020_02.json
Execucao,3
MaxIteration,0
Tempo Decorrido (segundos),2.10E-05
Porcentagem De Utilizacao,0.8115
Quantidade de Recipientes,5
Busca do Corvo,
Arquivo,base\CLASS01_020_02.json
Execucao,3
MaxIteration,1
Tempo Decorrido (segundos),0.0509236
Porcentagem De Utilizacao,0.8115
Quantidade de Recipientes,5
Busca do Corvo,
Arquivo,base\CLASS01_020_02.json
Execucao,3
MaxIteration,2
Tempo Decorrido (segundos),0.110921
Porcentagem De Utilizacao,0.81402
Quantidade de Recipientes,5
Busca do Corvo,
Arquivo,base\CLASS01_020_02.json
Execucao,3
MaxIteration,3
Tempo Decorrido (segundos),0.161425
Porcentagem De Utilizacao,0.81402
Quantidade de Recipientes,5
Busca do Corvo,
Arquivo,base\CLASS01_020_02.json
Execucao,3
MaxIteration,4
Tempo Decorrido (segundos),0.213311
Porcentagem De Utilizacao,0.81654
Quantidade de Recipientes,5
Busca do Corvo,
Arquivo,base\CLASS01_020_02.json
Execucao,4
MaxIteration,0
Tempo Decorrido (segundos),1.83E-05
Porcentagem De Utilizacao,0.81914
Quantidade de Recipientes,5
Busca do Corvo,
Arquivo,base\CLASS01_020_02.json
Execucao,4
MaxIteration,1
Tempo Decorrido (segundos),0.0548306
Porcentagem De Utilizacao,0.80938
Quantidade de Recipientes,5
Busca do Corvo,
Arquivo,base\CLASS01_020_02.json
Execucao,4
MaxIteration,2
Tempo Decorrido (segundos),0.105076
Porcentagem De Utilizacao,0.81658
Quantidade de Recipientes,5
Busca do Corvo,
Arquivo,base\CLASS01_020_02.json
Execucao,4
MaxIteration,3
Tempo Decorrido (segundos),0.157398
Porcentagem De Utilizacao,0.81158
Quantidade de Recipientes,5
Busca do Corvo,
Arquivo,base\CLASS01_020_02.json
Execucao,4
MaxIteration,4
Tempo Decorrido (segundos),0.214097
Porcentagem De Utilizacao,0.81658
Quantidade de Recipientes,5
Busca do Corvo,
Arquivo,base\CLASS01_020_02.json
Execucao,5
MaxIteration,0
Tempo Decorrido (segundos),1.86E-05
Porcentagem De Utilizacao,0.80902
Quantidade de Recipientes,5
Busca do Corvo,
Arquivo,base\CLASS01_020_02.json
Execucao,5
MaxIteration,1
Tempo Decorrido (segundos),0.0540167
Porcentagem De Utilizacao,0.81154
Quantidade de Recipientes,5
Busca do Corvo,
Arquivo,base\CLASS01_020_02.json
Execucao,5
MaxIteration,2
Tempo Decorrido (segundos),0.103949
Porcentagem De Utilizacao,0.81658
Quantidade de Recipientes,5
Busca do Corvo,
Arquivo,base\CLASS01_020_02.json
Execucao,5
MaxIteration,3
Tempo Decorrido (segundos),0.160222
Porcentagem De Utilizacao,0.8141
Quantidade de Recipientes,5
Busca do Corvo,
Arquivo,base\CLASS01_020_02.json
Execucao,5
MaxIteration,4
Tempo Decorrido (segundos),0.216272
Porcentagem De Utilizacao,0.8141
Quantidade de Recipientes,5
Busca do Corvo,
Arquivo,base\CLASS01_020_02.json
Execucao,6
MaxIteration,0
Tempo Decorrido (segundos),1.85E-05
Porcentagem De Utilizacao,0.7959
Quantidade de Recipientes,5
Busca do Corvo,
Arquivo,base\CLASS01_020_02.json
Execucao,6
MaxIteration,1
Tempo Decorrido (segundos),0.0519026
Porcentagem De Utilizacao,0.80034
Quantidade de Recipientes,5
Busca do Corvo,
Arquivo,base\CLASS01_020_02.json
Execucao,6
MaxIteration,2
Tempo Decorrido (segundos),0.108261
